 Project Number , Site Work , Structures , Requirements , Overhead , Profit , Prevailing Wages , Insurance , Third Party Management , Total Constr Costs ,GC Fee Percentage (of Total Costs),GC Fee Percentage (of Hard Costs)
 CA-24-444 ," $6,620,331 "," $53,244,554 "," $4,469,756 "," $1,150,154 "," $1,150,154 ", $-   ," $2,077,660 "," $274,135 "," $70,003,102 ",13%,17%
 CA-24-445 ," $4,044,415 "," $38,950,738 "," $1,175,210 "," $1,766,814 "," $1,766,815 ", $-   , $-   ," $250,000 "," $47,953,991 ",10%,12%
 CA-24-446 ," $916,582 "," $14,769,656 "," $1,875,789 "," $376,541 "," $376,541 "," $3,137,248 "," $428,566 "," $156,000 "," $22,215,186 ",14%,21%
 CA-24-447 ," $2,780,981 "," $12,745,549 "," $951,731 "," $499,675 "," $499,674 ", $-   ," $420,348 "," $432,000 "," $19,011,383 ",12%,19%
 CA-24-448 ," $6,300,000 "," $20,734,080 "," $1,775,249 "," $500,000 "," $1,479,374 ", $-   ," $350,000 ", $-   ," $31,588,703 ",13%,20%
 CA-24-449 ," $750,000 "," $34,350,000 "," $1,492,000 "," $932,500 "," $932,500 ", $-   ," $125,000 ", $-   ," $39,036,375 ",9%,10%
 CA-24-450 ," $1,071,372 "," $48,132,122 "," $3,482,400 "," $930,871 "," $930,871 ", $-   ," $975,305 "," $253,620 "," $56,210,861 ",11%,13%
 CA-24-451 ," $14,409,541 "," $21,564,631 "," $1,741,000 "," $918,800 "," $1,985,000 "," $7,194,834 "," $419,000 "," $150,000 "," $48,417,806 ",10%,23%
 CA-24-452 ," $3,409,833 "," $13,859,788 "," $1,431,500 "," $438,000 "," $1,100,000 "," $3,453,924 "," $238,000 "," $140,000 "," $24,071,045 ",13%,23%
 CA-24-453 ," $3,000,000 "," $7,430,000 "," $1,000,000 "," $700,000 "," $700,000 ", $-   ," $150,000 ", $-   ," $12,980,000 ",20%,34%
 CA-24-454 , $-   ," $24,457,831 ", $-   ," $500,000 "," $710,889 ", $-   ," $50,000 "," $90,000 "," $25,808,720 ",5%,5%
 CA-24-455 ," $3,135,394 "," $18,849,527 "," $1,366,259 "," $1,034,047 "," $1,034,047 ", $-   ," $680,482 "," $200,000 "," $26,299,756 ",16%,22%
 CA-24-456 ," $3,405,000 "," $66,141,070 "," $4,312,145 "," $1,523,625 "," $4,570,874 ", $-   ," $700,000 ", $-   ," $80,652,714 ",14%,17%
 CA-24-457 ," $8,284,422 "," $46,317,488 "," $1,820,000 "," $3,026,736 "," $3,026,736 ", $-   ," $1,897,399 "," $42,000 "," $64,414,781 ",15%,21%
 CA-24-458 , $-   ," $91,084,500 "," $4,554,225 "," $3,825,549 "," $4,781,936 ", $-   ," $1,657,515 ", $-   ," $105,903,725 ",14%,16%
 CA-24-459 ," $1,574,133 "," $6,499,621 "," $495,444 "," $350,114 "," $350,114 ", $-   ," $131,861 "," $130,000 "," $9,531,286 ",14%,20%
 CA-24-460 ," $1,763,075 "," $8,765,256 ", $-   ," $1,149,097 "," $762,938 ", $-   ," $275,266 "," $138,000 "," $12,853,632 ",17%,25%
 CA-24-461 ," $216,142 "," $8,429,525 "," $518,740 "," $173,173 "," $518,740 ", $-   ," $86,100 "," $25,000 "," $10,217,420 ",13%,15%
 CA-24-462 ," $800,000 "," $31,555,301 "," $1,928,430 "," $642,810 "," $1,928,430 ", $-   , $-   ," $291,000 "," $37,145,971 ",12%,14%
 CA-24-463 ," $2,728,338 "," $51,528,463 "," $4,112,074 "," $906,722 "," $906,722 ", $-   ," $1,377,898 ", $-   ," $61,840,252 ",12%,14%
 CA-24-464 ," $597,870 "," $69,046,707 "," $1,336,000 "," $1,798,817 "," $1,798,817 ", $-   , $-   ," $562,500 "," $75,140,711 ",7%,7%
 CA-24-465 ," $162,886 "," $13,470,612 "," $2,074,623 "," $416,507 "," $416,507 "," $4,374,992 "," $216,584 "," $180,000 "," $22,354,291 ",14%,23%
 CA-24-466 ," $3,325,695 "," $61,238,148 "," $4,185,137 "," $2,502,873 "," $2,502,873 ", $-   ," $925,720 "," $169,000 "," $76,949,541 ",13%,17%
 CA-24-467 ," $4,570,716 "," $17,440,309 "," $1,387,042 "," $1,484,602 ", $-   , $-   , $-   , $-   ," $26,144,574 ",11%,16%
 CA-24-468 ," $2,965,968 "," $27,612,484 "," $1,997,034 "," $1,194,303 "," $1,194,303 ", $-   ," $1,009,030 ", $-   ," $35,973,122 ",15%,20%
 CA-24-469 ," $4,817,500 "," $37,927,007 "," $2,128,293 "," $1,489,805 "," $1,489,805 ", $-   , $-   ," $182,000 "," $48,034,410 ",11%,13%
 CA-24-470 ," $210,000 "," $2,310,000 "," $151,180 "," $212,937 ", $-   , $-   ," $84,984 "," $88,000 "," $3,057,101 ",15%,19%
 CA-24-471 ," $11,554,968 "," $49,474,654 "," $4,010,249 "," $1,102,712 "," $1,102,712 "," $12,368,663 "," $561,762 ", $-   ," $88,670,632 ",8%,14%
 CA-24-472 ," $3,799,976 "," $35,915,523 "," $2,382,930 "," $794,310 "," $2,382,930 ", $-   ," $452,757 ", $-   ," $46,181,183 ",13%,17%
 CA-24-473 ," $1,672,041 "," $45,506,951 "," $2,064,707 "," $774,305 "," $774,305 ", $-   ," $842,584 "," $465,000 "," $52,099,894 ",9%,10%
 CA-24-474 ," $3,039,079 "," $38,327,862 "," $2,500,091 "," $1,272,443 ", $-   , $-   ," $618,134 ", $-   ," $45,757,609 ",10%,11%
 CA-24-475 , $-   ," $44,379,808 "," $3,066,908 "," $968,409 "," $968,409 ", $-   , $-   , $-   ," $49,648,734 ",10%,11%
 CA-24-476 ," $2,322,224 "," $37,200,000 "," $1,976,111 "," $988,055 "," $988,056 ", $-   ," $125,000 ", $-   ," $44,064,446 ",9%,11%
 CA-24-477 ," $2,242,000 "," $36,230,000 "," $2,308,320 "," $1,154,160 "," $1,154,160 ", $-   ," $135,000 ", $-   ," $43,676,515 ",11%,13%
 CA-24-478 ," $55,000 "," $11,644,536 "," $634,200 ", $-   ," $446,252 ", $-   , $-   , $-   ," $12,779,988 ",8%,9%
 CA-24-479 ," $3,203,234 "," $28,651,960 "," $995,804 "," $1,109,098 "," $1,109,098 ", $-   ," $480,609 "," $349,525 "," $37,695,822 ",10%,13%
 CA-24-480 , $-   ," $18,744,380 "," $1,395,546 "," $697,773 "," $697,773 ", $-   ," $454,549 ", $-   ," $22,148,863 ",15%,17%
 CA-24-481 ," $1,554,438 "," $21,298,694 "," $1,673,467 "," $1,115,645 "," $1,115,645 "," $4,648,520 "," $317,959 ", $-   ," $31,724,368 ",13%,20%
